"Rk","Gtm","Date","X","Opp","Rslt","IP","H","R","ER","UER","BB","SO","HR","HBP","ERA","BF","Pit","Str","IR","IS","SB","CS","AB","X2B","X3B","IBB","SH","SF","ROE","GDP","X.","Umpire","Pitchers.Used..Rest.GameScore.Dec.","Team","Year"
"38","38","May 18","","MIN","W,7-6","9.0","13","6","6","0","5","4","2","1","5.32","45","169","108","3","0","1","1","39","3","0","0","0","0","0","0","4","John Hirschbeck","A.Pettitte (4-36-W), J.Veras (1-H), E.Ramirez (1-H), P.Coke (1-Sv)","NYY",2009
"39","39","May 19","","BAL","W,9-1","9.0","3","1","1","0","1","8","0","0","5.21","31","133","89","0","0","1","0","30","0","0","0","0","0","0","0","3","Gary Darling","C.Sabathia (4-73-W), B.Bruney (27), B.Tomko (1)","NYY",2009
"40","40","May 20","","BAL","W,11-4","9.0","10","4","4","0","1","11","3","0","5.18","36","131","87","1","0","0","1","35","2","0","0","0","0","0","0","4","Bruce Dreckman","P.Hughes (4-51-W), A.Aceves (2-H), P.Coke (1-H), M.Rivera (2-Sv)","NYY",2009
"41","41","May 21","","BAL","W,7-4","9.0","12","4","4","0","1","5","2","0","5.15","40","132","82","2","0","0","0","39","3","0","0","0","0","0","0","5","Paul Emmel","J.Chamberlain (4-49), A.Aceves (0-W), J.Albaladejo (3), J.Veras (2-H), M.Rivera (0-Sv)","NYY",2009
"42","42","May 22","","PHI","L,3-7","9.0","14","7","7","0","3","9","4","1","5.20","43","146","88","0","0","3","0","39","0","1","0","0","0","0","1","2","Mike Winters","A.Burnett (4-41-L), C.Wang (33)","NYY",2009
"43","43","May 23","","PHI","W,5-4","9.0","6","4","4","0","2","5","2","0","5.17","33","137","77","0","0","0","0","31","1","0","0","0","0","0","2","3","Lance Barksdale","A.Pettitte (4-54), P.Coke (2), J.Veras (1-W)","NYY",2009
"44","44","May 24","","PHI","L,3-4","11.0","11","4","4","0","3","7","0","0","5.12","47","174","108","0","0","3","0","44","3","0","0","0","0","0","0","4","Mike Estabrook","C.Sabathia (4-56), J.Veras (0), M.Rivera (2), B.Tomko (4-L)","NYY",2009
"45","45","May 25","@","TEX","W,11-1","9.0","4","1","1","0","1","7","1","1","5.03","33","109","72","0","0","2","0","31","3","0","0","0","0","0","0","2","Tom Hallion","P.Hughes (4-81-W), A.Aceves (3)","NYY",2009
"46","46","May 26","@","TEX","L,3-7","8.0","9","7","7","0","5","8","2","0","5.08","37","143","86","2","2","1","0","31","3","1","1","0","1","0","1","4","Jerry Crawford","J.Chamberlain (4-43), A.Aceves (0-L), P.Coke (2), D.Robertson (18)","NYY",2009
"47","47","May 27","@","TEX","W,9-2","9.0","5","2","2","0","5","10","1","1","5.01","37","175","108","1","0","1","1","31","2","0","0","0","0","0","0","4","Mike Muchlinski","A.Burnett (4-69-W), J.Veras (2), D.Robertson (0), C.Wang (4)","NYY",2009
"48","48","May 29","@","CLE","W,3-1","9.0","8","1","1","0","5","6","0","0","4.93","39","142","82","3","1","1","0","33","0","0","0","0","1","0","1","3","Tim Tschida","A.Pettitte (5-47-W), A.Aceves (2-H), M.Rivera (4-Sv)","NYY",2009
"49","49","May 30","@","CLE","W,10-5","9.0","7","5","5","0","3","10","2","2","4.93","37","150","93","0","0","0","0","32","1","0","0","0","0","0","2","3","Bob Davidson","C.Sabathia (5-60-W), D.Robertson (2), J.Veras (2)","NYY",2009
"50","50","May 31","@","CLE","L,4-5","8.1","9","5","5","0","4","9","0","2","4.94","39","158","102","1","1","1","1","29","2","0","0","2","2","0","0","4","Jeff Nelson","P.Hughes (5-46), C.Wang (3), P.Coke (4-L), D.Robertson (0)","NYY",2009
"51","51","Jun 1","@","CLE","W,5-2","9.0","4","2","2","0","2","5","1","0","4.88","31","119","75","0","0","2","1","29","0","0","0","0","0","0","0","2","Mark Carlson","J.Chamberlain (5-69-W), M.Rivera (2-Sv)","NYY",2009
"52","52","Jun 2","","TEX","W,12-3","9.0","8","3","3","0","1","9","1","1","4.85","37","140","90","0","0","3","0","35","1","0","0","0","0","0","0","3","Doug Eddings","A.Burnett (5-56-W), B.Tomko (8), J.Veras (2)","NYY",2009
"53","53","Jun 3","","TEX","L,2-4","9.0","9","4","4","0","7","10","0","0","4.83","39","159","95","0","0","2","1","32","0","0","0","0","0","0","2","3","Hunter Wendelstedt","A.Pettitte (4-37-L), B.Tomko (0), D.Robertson (2)","NYY",2009
"54","54","Jun 4","","TEX","W,8-6","9.0","11","6","6","0","3","11","2","0","4.85","41","147","96","0","0","1","0","37","4","0","0","1","0","0","0","5","Brian Knight","C.Wang (3-34), A.Aceves (5), P.Coke (3), D.Robertson (0-W), M.Rivera (2-Sv)","NYY",2009
"55","55","Jun 6","","TBR","L,7-9","9.0","9","9","7","2","4","5","2","1","4.89","39","135","83","2","2","0","2","33","0","1","1","0","1","1","1","3","Adrian Johnson","C.Sabathia (6-56), M.Rivera (1-L), P.Coke (1)","NYY",2009
"56","56","Jun 7","","TBR","W,4-3","9.0","6","3","3","0","1","9","0","1","4.86","35","143","85","0","0","1","1","33","1","0","0","0","0","1","0","3","Scott Barry","J.Chamberlain (5-53), A.Aceves (2-W), M.Rivera (0-Sv)","NYY",2009
"57","57","Jun 8","","TBR","W,5-3","9.0","5","3","2","1","4","10","1","1","4.81","37","139","85","0","0","0","0","32","0","0","0","0","0","1","1","4","Tim McClelland","A.Pettitte (4-56-W), P.Hughes (7-H), P.Coke (1-H), M.Rivera (0-Sv)","NYY",2009
"58","58","Jun 9","@","BOS","L,0-7","8.0","9","7","5","2","7","4","2","1","4.82","41","179","90","2","0","1","1","33","2","1","0","0","0","1","0","4","Mike Everitt","A.Burnett (6-28-L), B.Tomko (5), J.Veras (6), D.Robertson (4)","NYY",2009
"59","59","Jun 10","@","BOS","L,5-6","8.0","8","6","5","1","6","8","2","0","4.83","39","158","91","1","0","0","0","33","2","1","0","0","0","1","0","4","Gerry Davis","C.Wang (5-34-L), P.Hughes (1), P.Coke (1), A.Aceves (2)","NYY",2009
"60","60","Jun 11","@","BOS","L,3-4","8.0","8","4","4","0","3","7","1","0","4.83","35","145","91","4","2","0","0","31","1","0","0","0","1","1","1","3","James Hoye","C.Sabathia (4-53-L), A.Aceves (0-BSv), P.Coke (0)","NYY",2009
"61","61","Jun 12","","NYM","W,9-8","9.0","7","8","8","0","9","9","1","2","4.88","44","215","122","2","1","3","0","33","4","0","0","0","0","0","1","5","Fieldin Culbreth","J.Chamberlain (4-50), B.Tomko (2), D.Robertson (2), P.Coke (0-BSv), M.Rivera (3-W)","NYY",2009
"62","62","Jun 13","","NYM","L,2-6","9.0","16","6","6","0","1","5","2","0","4.90","44","177","110","0","0","0","0","42","3","0","0","1","0","0","0","3","Gary Cederstrom","A.Pettitte (4-27-L), A.Aceves (1), J.Veras (3)","NYY",2009
"63","63","Jun 14","","NYM","W,15-0","9.0","6","0","0","0","4","12","0","0","4.82","35","144","89","0","0","0","0","31","0","0","0","0","0","0","2","3","Jim Wolf","A.Burnett (4-73-W), D.Robertson (1), P.Hughes (3)","NYY",2009
"64","64","Jun 16","","WSN","W,5-3","9.0","6","3","3","0","1","3","1","0","4.79","33","135","93","1","0","0","0","32","1","0","0","0","0","0","1","3","Dan Iassogna","C.Sabathia (4-56-W), B.Bruney (27-H), M.Rivera (3-Sv)","NYY",2009
"65","65","Jun 17","","WSN","L,2-3","9.0","7","3","3","0","3","9","1","0","4.76","37","143","89","0","0","2","0","34","0","1","1","0","0","0","1","4","Charlie Reliford","C.Wang (6-45-L), P.Hughes (2), P.Coke (4), A.Aceves (3)","NYY",2009
"66","66","Jun 18","","WSN","L,0-3","9.0","8","3","3","0","6","10","0","0","4.74","39","144","87","0","0","0","1","33","4","0","1","0","0","0","1","4","Larry Vanover","J.Chamberlain (5-48-L), A.Aceves (0), P.Coke (0), D.Robertson (3)","NYY",2009
"67","67","Jun 19","@","FLA","W,5-1","9.0","3","1","1","0","0","8","1","0","4.68","31","134","82","0","0","0","0","31","2","0","0","0","0","1","0","3","Rob Drake","A.Pettitte (5-74-W), B.Bruney (2), B.Tomko (6)","NYY",2009
"68","68","Jun 20","@","FLA","L,1-2","8.0","5","2","1","1","3","11","1","0","4.64","32","119","73","1","0","0","2","28","0","0","0","1","0","2","0","3","Jeff Kellogg","A.Burnett (5-62-L), P.Coke (1), P.Hughes (2)","NYY",2009
"69","69","Jun 21","@","FLA","L,5-6","8.0","9","6","5","1","2","10","2","0","4.65","35","149","93","2","1","0","0","33","2","0","0","0","0","0","0","5","Tim Timmons","C.Sabathia (4-44), A.Aceves (2), B.Tomko (1-BL), P.Coke (0), D.Robertson (2)","NYY",2009
"70","70","Jun 23","@","ATL","L,0-4","8.0","7","4","4","0","1","7","1","0","4.65","32","107","71","0","0","1","0","31","2","0","0","0","0","0","0","3","Tim Welke","C.Wang (5-46-L), P.Hughes (2), D.Robertson (1)","NYY",2009
"71","71","Jun 24","@","ATL","W,8-4","9.0","8","4","3","1","2","10","1","0","4.62","38","151","101","4","1","0","0","34","1","0","0","1","1","1","0","4","James Hoye","J.Chamberlain (5-54-W), P.Coke (2-H), B.Bruney (4-H), M.Rivera (7-Sv)","NYY",2009
"72","72","Jun 25","@","ATL","W,11-7","9.0","13","7","4","3","4","9","1","1","4.61","45","183","116","4","0","0","0","39","4","0","0","1","0","1","1","5","Bill Welke","A.Pettitte (5-30), A.Aceves (3-W), P.Coke (0), D.Robertson (1), M.Rivera (0-Sv)","NYY",2009
"73","73","Jun 26","@","NYM","W,9-1","9.0","3","1","1","0","0","9","1","0","4.56","30","127","84","0","0","0","0","30","0","0","0","0","0","0","0","2","Tony Randazzo","C.Sabathia (4-75-W), B.Tomko (4)","NYY",2009
"74","74","Jun 27","@","NYM","W,5-0","9.0","1","0","0","0","3","10","0","0","4.50","31","132","83","0","0","0","0","28","0","0","0","0","0","0","0","3","Chris Guccione","A.Burnett (6-82-W), B.Bruney (2), D.Robertson (1)","NYY",2009
"75","75","Jun 28","@","NYM","W,4-2","9.0","5","2","2","0","6","8","0","1","4.47","38","145","85","4","0","2","0","30","1","0","0","1","0","0","1","5","Mike Winters","C.Wang (4-52-W), P.Coke (2-H), P.Hughes (4-H), B.Bruney (0-H), M.Rivera (2-Sv)","NYY",2009
"76","76","Jun 30","","SEA","W,8-5","9.0","12","5","5","0","4","7","1","0","4.48","42","145","86","1","0","4","0","35","1","0","1","2","1","0","1","5","Ron Kulpa","J.Chamberlain (5-39), P.Coke (1), P.Hughes (1), B.Bruney (1-BW), M.Rivera (1-Sv)","NYY",2009
"77","77","Jul 1","","SEA","W,4-2","9.0","6","2","2","0","1","6","1","0","4.44","32","125","80","0","0","0","1","31","1","0","0","0","0","0","0","4","Dale Scott","A.Pettitte (5-61-W), A.Aceves (5-H), P.Coke (0-H), M.Rivera (0-Sv)","NYY",2009
"78","78","Jul 2","","SEA","L,4-8","9.0","12","8","7","1","3","9","2","1","4.48","41","150","98","3","0","1","2","36","3","0","1","0","1","1","0","3","Jerry Meals","C.Sabathia (5-30-L), A.Aceves (0), D.Robertson (4)","NYY",2009
"79","79","Jul 3","","TOR","W,4-2","9.0","7","2","2","0","2","9","1","1","4.44","36","142","90","0","0","0","1","33","3","0","0","0","0","0","0","4","John Hirschbeck","A.Burnett (5-62-W), P.Coke (1-H), P.Hughes (2-H), M.Rivera (1-Sv)","NYY",2009
"80","80","Jul 4","","TOR","W,6-5","12.0","10","5","5","0","5","4","1","0","4.43","48","173","111","0","0","1","0","42","3","0","1","1","0","0","3","7","Wally Bell","C.Wang (5-40), D.Robertson (1), B.Bruney (3), P.Hughes (0), M.Rivera (0), P.Coke (0), B.Tomko (7-W)","NYY",2009
"81","81","Jul 5","","TOR","W,10-8","9.0","12","8","3","5","1","8","2","0","4.42","40","161","108","1","0","0","1","39","3","0","0","0","0","1","0","3","Marty Foster","J.Chamberlain (4-21), J.Albaladejo (44-W), A.Aceves (2-Sv)","NYY",2009
"82","82","Jul 6","","TOR","L,6-7","9.0","8","7","7","0","6","6","2","0","4.45","41","166","93","3","1","0","0","35","2","0","0","0","0","0","0","4","Chad Fairchild","A.Pettitte (4-36-L), B.Bruney (1), D.Robertson (1), J.Albaladejo (0)","NYY",2009
"83","83","Jul 7","@","MIN","W,10-2","9.0","4","2","2","0","2","3","1","0","4.42","33","129","86","0","0","0","0","31","0","0","0","0","0","0","0","2","Jeff Kellogg","C.Sabathia (4-69-W), B.Tomko (2)","NYY",2009
"84","84","Jul 8","@","MIN","W,4-3","9.0","9","3","3","0","4","4","1","0","4.40","39","132","82","1","0","1","0","35","1","0","0","0","0","0","0","4","Scott Barry","A.Burnett (4-49-W), P.Coke (3-H), P.Hughes (3-H), M.Rivera (3-Sv)","NYY",2009
"85","85","Jul 9","@","MIN","W,6-4","9.0","6","4","3","1","5","9","1","1","4.38","39","151","94","5","2","0","0","33","1","0","0","0","0","1","0","6","Tim Timmons","A.Aceves (3-39), D.Robertson (2), J.Albaladejo (2-W), P.Coke (0-H), P.Hughes (0-H), M.Rivera (0-Sv)","NYY",2009
"86","86","Jul 10","@","LAA","L,6-10","8.0","13","10","6","4","2","5","2","0","4.41","40","151","93","2","1","2","0","37","1","1","0","1","0","2","1","3","CB Bucknor","J.Chamberlain (4-30), M.Melancon (65-L), B.Bruney (3)","NYY",2009
"87","87","Jul 11","@","LAA","L,8-14","8.0","16","14","14","0","4","5","2","0","4.53","43","174","103","3","2","4","1","38","3","1","1","0","1","0","2","4","Mike Everitt","A.Pettitte (4-24-L), D.Robertson (1), B.Tomko (3), P.Coke (1)","NYY",2009
"88","88","Jul 12","@","LAA","L,4-5","8.0","9","5","5","0","5","7","0","0","4.54","35","140","84","1","0","0","1","29","3","1","2","1","0","0","2","2","Brian Gorman","C.Sabathia (4-39-L), P.Hughes (2)","NYY",2009
"89","89","Jul 17","","DET","W,5-3","9.0","10","3","3","0","5","7","1","1","4.52","40","158","96","0","0","1","0","34","2","0","0","0","0","0","1","3","Tim Tschida","A.Burnett (8-44), P.Hughes (4-W), M.Rivera (7-Sv)","NYY",2009
"90","90","Jul 18","","DET","W,2-1","9.0","6","1","1","0","3","7","1","1","4.48","35","144","86","0","0","0","0","31","2","0","0","0","0","0","2","3","Bob Davidson","C.Sabathia (5-68-W), A.Aceves (8-H), M.Rivera (0-Sv)","NYY",2009
"91","91","Jul 19","","DET","W,2-1","9.0","4","1","1","0","4","10","1","1","4.44","36","135","86","0","0","1","0","31","0","1","0","0","0","0","0","4","Jeff Nelson","J.Chamberlain (8-69-W), P.Coke (7-H), P.Hughes (1-H), M.Rivera (0-Sv)","NYY",2009
"92","92","Jul 20","","BAL","W,2-1","9.0","6","1","1","0","3","8","1","1","4.40","34","126","84","3","0","1","0","30","1","0","1","0","0","0","2","3","Adrian Johnson","A.Pettitte (8-68), P.Coke (0), A.Aceves (1-W)","NYY",2009
"93","93","Jul 21","","BAL","W,6-4","9.0","9","4","3","1","1","5","0","0","4.39","35","122","80","1","0","1","0","34","1","0","0","0","0","0","1","4","Jim Wolf","S.Mitre (99-42-W), A.Aceves (0-H), P.Coke (0-H), M.Rivera (1-Sv)","NYY",2009
"94","94","Jul 22","","BAL","W,6-4","9.0","9","4","4","0","3","10","2","0","4.38","40","138","94","0","0","0","0","36","1","0","0","0","1","1","1","4","Brian O'Nora","A.Burnett (4-60-W), P.Hughes (2-H), B.Bruney (11), M.Rivera (0-Sv)","NYY",2009
"95","95","Jul 23","","OAK","W,6-3","9.0","9","3","3","0","0","4","0","0","4.37","35","137","90","0","0","2","0","34","3","0","0","0","1","0","1","2","Charlie Reliford","C.Sabathia (4-51-W), P.Hughes (0-Sv)","NYY",2009
"96","96","Jul 24","","OAK","W,8-3","9.0","4","3","2","1","3","9","0","1","4.34","34","132","80","2","0","1","1","29","2","0","0","0","1","0","0","3","Larry Vanover","J.Chamberlain (4-72-W), P.Coke (2-H), D.Robertson (12)","NYY",2009
"97","97","Jul 25","","OAK","L,4-6","9.0","9","6","6","0","1","10","0","0","4.36","37","141","98","4","3","0","0","36","2","0","0","0","0","0","0","4","Sam Holbrook","A.Pettitte (4-53-L), A.Aceves (3), D.Robertson (0), B.Bruney (2)","NYY",2009
"98","98","Jul 26","","OAK","W,7-5","9.0","12","5","5","0","1","7","1","1","4.37","39","145","93","5","1","1","0","36","2","0","0","0","1","1","3","5","Dan Iassogna","S.Mitre (4-34), P.Coke (1-BW), P.Hughes (2-H), B.Bruney (0-H), M.Rivera (3-Sv)","NYY",2009
"99","99","Jul 27","@","TBR","W,11-4","9.0","6","4","3","1","3","7","1","1","4.35","37","153","94","2","0","1","0","32","1","0","0","0","1","0","1","3","Brian Knight","A.Burnett (4-74-W), J.Albaladejo (17), D.Robertson (1-Sv)","NYY",2009
