last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Heaney, Andrew,2018,.247,.411,.316,.303,.164,87.7,12.4,7.8,
Chacin, Jhoulys,2018,.251,.410,.327,.330,.159,88.8,13.2,6.5,
Verlander, Justin,2018,.187,.315,.243,.231,.129,88.5,22.1,6.2,
Roark, Tanner,2018,.258,.425,.324,.316,.167,87.8,14.5,6.0,
Greinke, Zack,2018,.249,.414,.310,.294,.165,87.9,10.4,6.4,
Giolito, Lucas,2018,.260,.441,.355,.361,.181,88.7,13.3,7.0,
Gausman, Kevin,2018,.277,.459,.343,.329,.182,89,10.8,7.4,
Freeland, Kyle,2018,.244,.380,.307,.312,.136,86.8,12,5.0,
Cole, Gerrit,2018,.200,.342,.275,.272,.142,89.1,15.8,6.2,
Bauer, Trevor,2018,.202,.314,.266,.276,.113,87.8,12,4.4,
deGrom, Jacob,2018,.203,.296,.249,.254,.092,86.3,11.1,4.1,
Williams, Trevor,2018,.255,.408,.320,.318,.153,86.9,14.1,5.8,
Shields, James,2018,.264,.469,.353,.339,.205,88.6,16.6,8.3,
Porcello, Rick,2018,.245,.406,.314,.306,.161,89,12.4,7.0,
Nola, Aaron,2018,.208,.325,.266,.271,.117,87.1,9,4.6,
Gonzalez, Gio,2018,.258,.419,.335,.340,.161,87.8,11,5.8,
Clevinger, Mike,2018,.219,.363,.289,.288,.144,87,14.3,5.6,
Scherzer, Max,2018,.189,.322,.253,.249,.133,86.6,20.6,6.6,
Odorizzi, Jake,2018,.247,.431,.337,.335,.184,89.1,21.4,7.4,
Happ, J.A.,2018,.230,.406,.308,.293,.176,88.4,15.4,8.8,
Hamels, Cole,2018,.260,.432,.339,.337,.172,88.6,10.9,7.5,
Gonzales, Marco,2018,.267,.413,.318,.308,.146,88.5,10.4,5.4,
Foltynewicz, Mike,2018,.206,.337,.280,.286,.131,88.6,13.9,6.9,
Carrasco, Carlos,2018,.232,.378,.290,.282,.146,89.7,9.8,6.0,
Berrios, Jose,2018,.227,.374,.301,.302,.147,87.3,14.3,6.0,
Stroman, Marcus,2017,.269,.404,.324,.329,.135,88.7,0.6,5.1,
Scherzer, Max,2017,.181,.310,.249,.250,.129,86.5,19,5.6,
Samardzija, Jeff,2017,.251,.433,.308,.284,.182,87.4,12.4,6.3,
Sale, Chris,2017,.197,.341,.258,.245,.145,86.8,15,6.1,
Roark, Tanner,2017,.258,.411,.321,.325,.152,86.9,10.1,5.4,
Lynn, Lance,2017,.237,.401,.320,.326,.165,86.6,12.1,5.8,
Lackey, John,2017,.268,.467,.346,.336,.199,88.4,14.6,6.4,
Estrada, Marco,2017,.231,.415,.310,.300,.184,87,21.8,7.0,
Wacha, Michael,2017,.254,.401,.313,.315,.147,87.2,10,5.6,
Quintana, Jose,2017,.246,.410,.315,.314,.164,87.6,11.7,5.9,
Moore, Matt,2017,.277,.516,.368,.346,.239,89.6,15.6,9.0,
Martinez, Carlos,2017,.224,.359,.291,.297,.135,87.1,8,4.8,
Greinke, Zack,2017,.227,.399,.292,.273,.172,87.2,9.7,7.0,
Gausman, Kevin,2017,.272,.459,.349,.341,.186,87.7,11.9,8.2,
Fulmer, Michael,2017,.264,.413,.317,.315,.150,86.1,9.4,4.9,
deGrom, Jacob,2017,.222,.355,.280,.281,.133,86.3,10.7,5.9,
Verlander, Justin,2017,.241,.425,.319,.310,.184,87.6,16.4,7.2,
Richard, Clayton,2017,.281,.417,.331,.338,.137,87.4,1.8,4.4,
Nolasco, Ricky,2017,.294,.526,.373,.350,.232,90,14.7,8.4,
Darvish, Yu,2017,.236,.386,.302,.301,.150,86.3,13.3,6.3,
Blach, Ty,2017,.293,.456,.345,.339,.163,86.9,9.9,3.7,
Vargas, Jason,2017,.260,.444,.334,.322,.184,87,14.9,5.5,
Pomeranz, Drew,2017,.253,.415,.323,.325,.162,87.9,12.8,6.7,
Perdomo, Luis,2017,.279,.439,.349,.354,.160,88,1.2,5.0,
Nola, Aaron,2017,.226,.363,.284,.283,.137,85.7,9,5.0,
Lester, Jon,2017,.247,.403,.314,.312,.156,86.3,10.3,5.4,
Hellickson, Jeremy,2017,.282,.496,.358,.339,.214,87.8,17.7,6.4,
Bundy, Dylan,2017,.242,.442,.324,.307,.200,88.8,19.4,7.8,
Strasburg, Stephen,2017,.208,.341,.270,.272,.133,87.3,10.8,6.1,
Straily, Dan,2017,.240,.421,.312,.304,.182,87.2,18.4,6.9,
Hammel, Jason,2017,.277,.477,.349,.332,.200,88.4,16.4,6.6,
Cole, Gerrit,2017,.257,.434,.322,.310,.177,86.3,11.1,7.6,
Cashner, Andrew,2017,.277,.409,.337,.352,.132,87.1,10.6,3.9,
Carrasco, Carlos,2017,.235,.393,.299,.289,.158,87.4,9.7,7.4,
Urena, Jose,2017,.269,.476,.355,.349,.206,86.4,12.9,8.6,
Teheran, Julio,2017,.258,.434,.332,.331,.176,87.2,13.8,6.4,
